Description,TotalSales,AvgProfitMargin,TargetBrand
F Coppola Black Label Claret,443192.12,28.95546067,No
Belvedere Vodka,722495.84,22.27033154,No
Allens Coffee Brandy,540403.56,32.04196007,No
The Famous Grouse,520259.84,26.73812647,No
The Glenlivet 15Yr FrenchOak,413475.55,25.11345592,No
Kim Crawford Svgn Bl Marlbro,482171.72,20.67205214,No
Yellow Tail Chard Ausl,540267.39,39.02298079,No
Smirnoff Raspberry Vodka,879557.4,27.08896906,No
Jenkins Vodka,520743.13,28.29894957,No
Ch Ste Michelle Chard Colmbi,431702.35,31.30968363,No
Smirnoff 80 Proof Traveler,427609.96,30.92044909,No
Menage a Trois Red,509372.48,43.4751795,No
Gentleman Jack,935932.52,23.47917594,No
Jack Daniels Tennessee Fire,470601.23,63.79768973,No
Bogle Merlot,502198.46,43.63140022,No
R M Woodbridge Pnt Grigio,546968.42,39.49815483,No
Dr McGillicuddy's Mentholmnt,1061780.95,26.55582561,No
Fireball Cinn Whisky Trav,381031.35,30.13447319,No
Capt Morgan Private Stock,555259.77,17.68495789,No
RumChata Liqueur,535736.84,40.57626564,No
Black Box Cab Svgn,485370.4,39.87727017,No
Jameson Caskmates,316023.68,18.73210261,No
Butter Chard,368418.66,30.31625488,No
Glen Ellen Chard RSV,404308.57,34.59141096,No
Pinnacle Whipped Vodka,463465.81,20.17490943,No
Wild Turkey 101,524038.63,29.86766886,No
Glenmorangie 10 Yr Scotch,334079.63,24.49097241,No
Jack Daniels Single Barrel,332251.8,20.29669035,No
Clan MacGregor,329242,23.94013826,No
Black Box Chard,479228.93,38.2230456,No
Mionetto Prosecco Brut,499270.01,36.25047038,No
Gilbeys Vodka,341285.93,27.66007084,No
Laphroaig 10 Yr Single Malt,346877.52,29.20335685,No
Bombay Dry Gin,399103.88,23.27694514,No
Phillips Seven Deadly Znfdl,362244.09,33.56654901,No
Courvoisier VS Cognac,602624.18,21.67579323,No
Rombauer Carneros Chard,348353.42,31.54515032,No
Chambord Royale de France,452457.21,30.69110165,No
Capt Morgan Cannon Blast,281585.68,45.8185531,No
R M Woodbridge Svgn Bl Cal,444890.26,42.01682162,No
